Symptom 1,Symptom 2,Symptom 3,Medicine
itchy eyes,,,Cetirizine
stomach acid,inflammation,,"Aciloc, Diclofenac"
diarrhea,stomach cramps,,Lomotil
skin rash,fungal infection,,Cetirizine
inflammation,diarrhea,,"Lomotil, Diclofenac"
fever,muscle pain,cough,"Azithromycin, Paracetamol"
cough,,,Azithromycin
runny nose,,,Cetirizine
sore throat,,,Azithromycin
cough,sneezing,fungal infection,"Cetirizine, Azithromycin"
sneezing,joint pain,sore throat,"Cetirizine, Azithromycin, Diclofenac"
heartburn,sore throat,,"Azithromycin, Aciloc"
heartburn,headache,cough,"Azithromycin, Aciloc, Paracetamol"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
stomach cramps,joint pain,,"Lomotil, Diclofenac"
joint pain,,,Diclofenac
skin rash,sore throat,,"Cetirizine, Azithromycin"
cough,,,Azithromycin
diarrhea,respiratory infection,cough,"Azithromycin, Lomotil"
joint pain,,,Diclofenac
bacterial infection,itchy eyes,,"Cetirizine, Azithromycin"
cough,stomach cramps,,"Azithromycin, Lomotil"
stomach cramps,runny nose,,"Cetirizine, Lomotil"
pain,bacterial infection,nausea,"Azithromycin, Aciloc, Diclofenac"
headache,sneezing,,"Cetirizine, Paracetamol"
bacterial infection,inflammation,headache,"Azithromycin, Paracetamol, Diclofenac"
nausea,bacterial infection,,"Azithromycin, Aciloc"
runny nose,heartburn,,"Cetirizine, Aciloc"
